waterBodyCategory	eeaIndicator	countryCode	monitoringSiteIdentifier	seriesSpan	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
LW	Total phosphorus	FI	FISW_219	short	0.051	0.059	0.062						0.067		0.071	0.054	0.073	0.065	0.068	0.074	0.0646	0.0577	0.0605	0.0858	0.0725	0.0863	0.0722	0.069	0.065	0.08425	0.0645
LW	Total phosphorus	FI	FISW_2193	long	0.019	0.021	0.021	0.02	0.019	0.02	0.021	0.02		0.019		0.025	0.022		0.022	0.021	0.0241	0.0234	0.022	0.0196	0.0239	0.0163	0.0258	0.019857	0.019429	0.0195	0.017333
LW	Total phosphorus	FI	FISW_2199	long	0.043	0.04	0.046	0.039	0.031	0.048	0.038	0.039	0.039	0.039	0.044	0.074	0.047	0.04	0.043	0.037	0.0395	0.0402	0.0341	0.0243	0.0554	0.062		0.028	0.03	0.041333	0.0295
LW	Total phosphorus	FI	FISW_220	short	0.078						0.051	0.058	0.049		0.096	0.087	0.058	0.068	0.073	0.074	0.0683	0.0826	0.0583	0.064	0.0655	0.0655	0.0628	0.045	0.038	0.0434	0.080833
LW	Total phosphorus	FI	FISW_227	long	0.206	0.169	0.157	0.14	0.131	0.21	0.139	0.15	0.125	0.186	0.165	0.18	0.118	0.148	0.128	0.111	0.1084	0.091	0.0863	0.0885	0.1064	0.0844	0.1365	0.11225			0.1315
LW	Total phosphorus	FI	FISW_230	long	0.008	0.008	0.008	0.009	0.008	0.009			0.012		0.008	0.009	0.005	0.008	0.009	0.009	0.0107	0.0099	0.0084	0.0066	0.0078				0.005875		
LW	Total phosphorus	FI	FISW_235	long	0.073	0.142	0.126	0.082	0.063	0.069	0.075	0.079	0.086	0.055	0.083	0.072	0.055		0.063	0.078	0.0695	0.0931	0.0521	0.129	0.0756		0.1638	0.035429	0.042167	0.038167	0.038333
LW	Total phosphorus	FI	FISW_236	short	0.011								0.014			0.015	0.013	0.014	0.014	0.014	0.0185	0.0177	0.015	0.014	0.017			0.012			
LW	Total phosphorus	FI	FISW_238	short	0.042	0.042	0.038						0.051	0.053	0.049	0.045	0.037	0.041	0.052	0.036	0.036		0.0395				0.0412			0.039	0.046
LW	Total phosphorus	FI	FISW_240	long	0.011	0.014		0.012	0.012	0.01	0.011	0.012	0.01		0.011	0.009	0.01	0.012		0.012	0.0118	0.013	0.0103	0.0091	0.0089		0.0111	0.010286	0.011	0.009929	0.010814
LW	Total phosphorus	FI	FISW_2515	short									0.053	0.052	0.049	0.046	0.043	0.047	0.046	0.058	0.063	0.0568	0.0561	0.0668	0.0635	0.0632	0.1077	0.022	0.0318	0.035	0.0405
LW	Total phosphorus	FI	FISW_2686	long	0.019	0.011	0.013	0.01				0.008		0.007			0.008	0.007	0.008	0.008	0.0075	0.0093	0.0081	0.0095	0.0083	0.0091	0.009	0.012	0.0116	0.0094	0.011857
LW	Total phosphorus	FI	FISW_2784	short	0.026								0.023	0.022	0.023	0.019	0.018	0.025	0.024	0.026	0.0282	0.0293	0.0231	0.014	0.028	0.0257	0.0277	0.016	0.01255	0.026	0.017
LW	Total phosphorus	FI	FISW_2808	short	0.022	0.032								0.015	0.014	0.014	0.015	0.015	0.015	0.015	0.014	0.0202	0.0106	0.0203	0.0117	0.0099	0.0113	0.013	0.0135	0.012	0.0135
LW	Total phosphorus	FI	FISW_31	long	0.017	0.018	0.015	0.018	0.016	0.014	0.015	0.014	0.015	0.015	0.019	0.014	0.015	0.016	0.016	0.017	0.0143	0.014	0.0148	0.0125	0.0134	0.0105	0.0158	0.01325	0.017429	0.0145	
LW	Total phosphorus	FI	FISW_32	long	0.017		0.007	0.007	0.008	0.008			0.01	0.01	0.009		0.007				0.0084	0.0099	0.0099	0.0097	0.009		0.0086	0.008167	0.010125	0.0085	0.005625
LW	Total phosphorus	FI	FISW_33	long	0.002		0.001		0.002	0.002	0.001	0.004		0.004	0.004		0.003	0.005	0.002	0.002	0.0024	0.0023	0.0019	0.0018	0.0026	0.0021	0.0019	0.002625	0.003775	0.0032	0.00236
